MEMBER_KEY,MEMBER_NAME_x,YEAR,YEARLY_SPEND,TARGET_SPEND,MEMBER_NAME_y,BUSINESS_TYPE,POSTCODE_AREA,SECTOR_1,SECTOR_2,SIC_CODES,TRADE_COUNTER,WEB_PRESENCE
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group Bristol,Member,BS,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Belfast),Member,BT,PPE Specialist,PPE Specialist,70229|62012|58290,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Dublin) Santry,Member,D,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Liverpool),Member,L,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Leicester),Member,LE,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Port Glasgow),Member,PA,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS GROUP (SHEFFIELD)  ASP,Member,S,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Cork),Member,T,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Aberdeen),Member,AB,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group Bristol,Member,BS,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Belfast),Member,BT,PPE Specialist,PPE Specialist,70229|62012|58290,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Dublin) Santry,Member,D,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Liverpool),Member,L,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Leicester),Member,LE,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Port Glasgow),Member,PA,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS GROUP (SHEFFIELD)  ASP,Member,S,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2017,103326.47,,JBS Group (Cork),Member,T,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Aberdeen),Member,AB,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group Bristol,Member,BS,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Belfast),Member,BT,PPE Specialist,PPE Specialist,70229|62012|58290,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Dublin) Santry,Member,D,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Liverpool),Member,L,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Leicester),Member,LE,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Port Glasgow),Member,PA,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS GROUP (SHEFFIELD)  ASP,Member,S,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2018,381665.07,,JBS Group (Cork),Member,T,,PPE Specialist,,False,True
0e3daf609f4e820c92f98f70bac4ec35,DJM Tools & Ind Supplies,2016,88698.49,,DJM Tools & Ind Supplies,Member,CV,Industrial Distribution,Construction Supplies,25730,True,True
0e3daf609f4e820c92f98f70bac4ec35,DJM Tools & Ind Supplies,2017,115112.2,,DJM Tools & Ind Supplies,Member,CV,Industrial Distribution,Construction Supplies,25730,True,True
0e3daf609f4e820c92f98f70bac4ec35,DJM Tools & Ind Supplies,2018,176673.34,,DJM Tools & Ind Supplies,Member,CV,Industrial Distribution,Construction Supplies,25730,True,True
0e3daf609f4e820c92f98f70bac4ec35,DJM Tools & Ind Supplies,2019,53.050000000000004,,DJM Tools & Ind Supplies,Member,CV,Industrial Distribution,Construction Supplies,25730,True,True
0e3daf609f4e820c92f98f70bac4ec35,DJM Tools & Ind Supplies,2021,233.64,,DJM Tools & Ind Supplies,Member,CV,Industrial Distribution,Construction Supplies,25730,True,True
0fe729f4e6783af65a85ac4328f5955e,Kayfast Limited,2020,4528.139999999999,,Kayfast Limited,Member,WF,Fixings & Fasteners Specialist,Construction Supplies,47910,True,True
